code,name,return_code,notes
CE-30219-5,SCE_SBL_ERROR_SK_ENOENT,0X800F0102,
CE-30220-7,SCE_SBL_ERROR_SK_ESRCH,0X800F0103,
CE-30221-8,SCE_SBL_ERROR_SK_EINTR,0X800F0104,
CE-30222-9,SCE_SBL_ERROR_SK_EIO,0X800F0105,
CE-30223-0,SCE_SBL_ERROR_SK_ENOEXEC,0X800F0108,
CE-30224-1,SCE_SBL_ERROR_SK_EAGAIN,0X800F010B,
CE-30225-2,SCE_SBL_ERROR_SK_ENOMEM,0X800F010C,
CE-30226-3,SCE_SBL_ERROR_SK_EACCES,0X800F010D,
CE-30227-4,SCE_SBL_ERROR_SK_EFAULT,0X800F010E,
CE-30228-5,SCE_SBL_ERROR_SK_EBUSY,0X800F0110,
CE-30229-6,SCE_SBL_ERROR_SK_EEXIST,0X800F0111,
CE-30230-8,SCE_SBL_ERROR_SK_ENODEV,0X800F0113,
CE-30231-9,SCE_SBL_ERROR_SK_EINVAL,0X800F0116,
CE-30232-0,SCE_SBL_ERROR_SK_ENOSPC,0X800F011C,
CE-30233-1,SCE_SBL_ERROR_SK_ERANGE,0X800F0122,
CE-30234-2,SCE_SBL_ERROR_SK_EFMT,0X800F0123,
CE-30235-3,SCE_SBL_ERROR_SK_ESIGN,0X800F0124,
CE-30236-4,SCE_SBL_ERROR_SK_ENOTSUP,0X800F0125,
CE-30237-5,SCE_SBL_ERROR_SK_EDATA,0X800F0126,
CE-30238-6,SCE_SBL_ERROR_SK_ETIMEDOUT,0X800F0127,
CE-30239-7,SCE_SBL_ERROR_SK_ESTAT,0X800F0128,
CE-30240-9,SCE_SBL_ERROR_SK_ESTACK,0X800F0129,
CE-30241-0,SCE_SBL_ERROR_SK_ENEEDAUTH,0X800F012A,
CE-30242-1,SCE_SBL_ERROR_SK_EBADMSG,0X800F012B,
CE-30243-2,SCE_SBL_ERROR_SK_EREVOKED,0X800F012C,
CE-30244-3,SCE_SBL_ERROR_SK_ENOATTR,0X800F012D,
CE-30245-4,SCE_SBL_ERROR_SK_EVER,0X800F012E,
CE-30246-5,SCE_SBL_ERROR_SK_EPLATFORM,0X800F012F,
CE-30247-6,SCE_SBL_ERROR_SK_EPOWER,0X800F0130,
CE-30248-7,SCE_SBL_ERROR_SK_ECLOCK,0X800F0131,
CE-30249-8,SCE_SBL_ERROR_SK_ENOTINITIALIZED,0X800F0132,
CE-30250-0,SCE_SBL_ERROR_SK_EXPIRED,0X800F0133,
CE-30251-1,SCE_SBL_ERROR_SK_EFORMAT,0X800F0134,
CE-30252-2,SCE_SBL_ERROR_SK_EAUTHFAIL,0X800F0135,
CE-30253-3,SCE_SBL_ERROR_SK_KEY_DIFFER,0X800F0136,
CE-30254-4,SCE_SBL_ERROR_SL_EPERM,0X800F0201,
CE-30255-5,SCE_SBL_ERROR_SL_ENOENT,0X800F0202,
CE-30256-6,SCE_SBL_ERROR_SL_ESRCH,0X800F0203,
CE-30257-7,SCE_SBL_ERROR_SL_EINTR,0X800F0204,
CE-30258-8,SCE_SBL_ERROR_SL_EIO,0X800F0205,
CE-30259-9,SCE_SBL_ERROR_SL_ENOEXEC,0X800F0208,
CE-30260-1,SCE_SBL_ERROR_SL_EAGAIN,0X800F020B,
CE-30261-2,SCE_SBL_ERROR_SL_ENOMEM,0X800F020C,
CE-30262-3,SCE_SBL_ERROR_SL_EACCES,0X800F020D,
CE-30263-4,SCE_SBL_ERROR_SL_EFAULT,0X800F020E,
CE-30264-5,SCE_SBL_ERROR_SL_EBUSY,0X800F0210,
CE-30265-6,SCE_SBL_ERROR_SL_EEXIST,0X800F0211,
CE-30266-7,SCE_SBL_ERROR_SL_ENODEV,0X800F0213,
CE-30267-8,SCE_SBL_ERROR_SL_EINVAL,0X800F0216,
CE-30268-9,SCE_SBL_ERROR_SL_ENOSPC,0X800F021C,
CE-30269-0,SCE_SBL_ERROR_SL_ERANGE,0X800F0222,
CE-30270-2,SCE_SBL_ERROR_SL_EFMT,0X800F0223,
CE-30271-3,SCE_SBL_ERROR_SL_ESIGN,0X800F0224,
CE-30272-4,SCE_SBL_ERROR_SL_ENOTSUP,0X800F0225,
CE-30273-5,SCE_SBL_ERROR_SL_EDATA,0X800F0226,
CE-30274-6,SCE_SBL_ERROR_SL_ETIMEDOUT,0X800F0227,
CE-30275-7,SCE_SBL_ERROR_SL_ESTAT,0X800F0228,
CE-30276-8,SCE_SBL_ERROR_SL_ESTACK,0X800F0229,
CE-30277-9,SCE_SBL_ERROR_SL_ENEEDAUTH,0X800F022A,
CE-30278-0,SCE_SBL_ERROR_SL_EBADMSG,0X800F022B,
CE-30279-1,SCE_SBL_ERROR_SL_EREVOKED,0X800F022C,
CE-30280-3,SCE_SBL_ERROR_SL_ENOATTR,0X800F022D,
CE-30281-4,SCE_SBL_ERROR_SL_EVER,0X800F022E,
CE-30282-5,SCE_SBL_ERROR_SL_EPLATFORM,0X800F022F,
CE-30283-6,SCE_SBL_ERROR_SL_EPOWER,0X800F0230,
CE-30284-7,SCE_SBL_ERROR_SL_ECLOCK,0X800F0231,
CE-30285-8,SCE_SBL_ERROR_SL_ENOTINITIALIZED,0X800F0232,
CE-30286-9,SCE_SBL_ERROR_SL_EXPIRED,0X800F0233,
CE-30287-0,SCE_SBL_ERROR_SL_EFORMAT,0X800F0234,
CE-30288-1,SCE_SBL_ERROR_SL_EAUTHFAIL,0X800F0235,
CE-30289-2,SCE_SBL_ERROR_SL_KEY_DIFFER,0X800F0236,
CE-30290-4,SCE_SBL_ERROR_DRV_EPERM,0X800F0301,
CE-30291-5,SCE_SBL_ERROR_DRV_ENOENT,0X800F0302,
CE-30292-6,SCE_SBL_ERROR_DRV_ESRCH,0X800F0303,
CE-30293-7,SCE_SBL_ERROR_DRV_EINTR,0X800F0304,
CE-30294-8,SCE_SBL_ERROR_DRV_EIO,0X800F0305,
CE-30295-9,SCE_SBL_ERROR_DRV_ENOEXEC,0X800F0308,
CE-30296-0,SCE_SBL_ERROR_DRV_EAGAIN,0X800F030B,
CE-30297-1,SCE_SBL_ERROR_DRV_ENOMEM,0X800F030C,
